fips,county,state,variable,estimate,variable_name
08069,Larimer County,CO,deaths,12,deaths
08069,Larimer County,CO,births,3219,births
08069,Larimer County,CO,death_rate,3.727865796831314,death_rate
08123,Weld County,CO,deaths,13,deaths
08123,Weld County,CO,births,4243,births
08123,Weld County,CO,death_rate,3.0638699033702568,death_rate
09001,Fairfield County,CT,deaths,35,deaths
09001,Fairfield County,CT,births,9726,births
09001,Fairfield County,CT,death_rate,3.598601686201933,death_rate
09003,Hartford County,CT,deaths,44,deaths
09003,Hartford County,CT,births,9239,births
09003,Hartford County,CT,death_rate,4.762420175343652,death_rate
09009,New Haven County,CT,deaths,44,deaths
09009,New Haven County,CT,births,8519,births
09009,New Haven County,CT,death_rate,5.164925460734827,death_rate
10003,New Castle County,DE,deaths,39,deaths
10003,New Castle County,DE,births,6179,births
10003,New Castle County,DE,death_rate,6.311700922479365,death_rate
11001,District of Columbia,DC,deaths,68,deaths
11001,District of Columbia,DC,births,9212,births
11001,District of Columbia,DC,death_rate,7.381676074685193,death_rate
12009,Brevard County,FL,deaths,32,deaths
12009,Brevard County,FL,births,5309,births
12009,Brevard County,FL,death_rate,6.027500470898475,death_rate
12011,Broward County,FL,deaths,103,deaths
12011,Broward County,FL,births,21928,births
12011,Broward County,FL,death_rate,4.697190806275082,death_rate
12021,Collier County,FL,deaths,15,deaths
12021,Collier County,FL,births,3199,births
12021,Collier County,FL,death_rate,4.688965301656768,death_rate
12031,Duval County,FL,deaths,124,deaths
12031,Duval County,FL,births,12973,births
12031,Duval County,FL,death_rate,9.558313420180376,death_rate
12033,Escambia County,FL,deaths,31,deaths
12033,Escambia County,FL,births,3733,births
12033,Escambia County,FL,death_rate,8.304312885079025,death_rate
12057,Hillsborough County,FL,deaths,106,deaths
12057,Hillsborough County,FL,births,17126,births
12057,Hillsborough County,FL,death_rate,6.189419595936004,death_rate
12069,Lake County,FL,deaths,16,deaths
12069,Lake County,FL,births,3368,births
12069,Lake County,FL,death_rate,4.750593824228028,death_rate
12071,Lee County,FL,deaths,40,deaths
12071,Lee County,FL,births,6793,births
12071,Lee County,FL,death_rate,5.888414544383925,death_rate
12073,Leon County,FL,deaths,26,deaths
12073,Leon County,FL,births,2915,births
12073,Leon County,FL,death_rate,8.919382504288166,death_rate
12081,Manatee County,FL,deaths,14,deaths
12081,Manatee County,FL,births,3452,births
12081,Manatee County,FL,death_rate,4.055619930475086,death_rate
12083,Marion County,FL,deaths,30,deaths
12083,Marion County,FL,births,3476,births
12083,Marion County,FL,death_rate,8.63060989643268,death_rate
12086,Miami-Dade County,FL,deaths,148,deaths
12086,Miami-Dade County,FL,births,31032,births
12086,Miami-Dade County,FL,death_rate,4.76927043052333,death_rate
12095,Orange County,FL,deaths,106,deaths
12095,Orange County,FL,births,16919,births
12095,Orange County,FL,death_rate,6.265145694189964,death_rate
12097,Osceola County,FL,deaths,26,deaths
12097,Osceola County,FL,births,4437,births
12097,Osceola County,FL,death_rate,5.859815190443994,death_rate
12099,Palm Beach County,FL,deaths,73,deaths
12099,Palm Beach County,FL,births,15066,births
12099,Palm Beach County,FL,death_rate,4.845347139253949,death_rate
12101,Pasco County,FL,deaths,21,deaths
12101,Pasco County,FL,births,5084,births
12101,Pasco County,FL,death_rate,4.1306058221872535,death_rate
12103,Pinellas County,FL,deaths,46,deaths
12103,Pinellas County,FL,births,8126,births
12103,Pinellas County,FL,death_rate,5.660841742554762,death_rate
12105,Polk County,FL,deaths,59,deaths
12105,Polk County,FL,births,7847,births
12105,Polk County,FL,death_rate,7.518796992481203,death_rate
12111,St. Lucie County,FL,deaths,13,deaths
12111,St. Lucie County,FL,births,3123,births
12111,St. Lucie County,FL,death_rate,4.1626641050272175,death_rate
12115,Sarasota County,FL,deaths,10,deaths
12115,Sarasota County,FL,births,2878,births
12115,Sarasota County,FL,death_rate,3.4746351633078527,death_rate
12117,Seminole County,FL,deaths,20,deaths
12117,Seminole County,FL,births,4663,births
12117,Seminole County,FL,death_rate,4.289084280506112,death_rate
12127,Volusia County,FL,deaths,37,deaths
12127,Volusia County,FL,births,4863,births
12127,Volusia County,FL,death_rate,7.60847213654123,death_rate
13051,Chatham County,GA,deaths,20,deaths
13051,Chatham County,GA,births,3557,births
13051,Chatham County,GA,death_rate,5.62271577171774,death_rate
13063,Clayton County,GA,deaths,36,deaths
13063,Clayton County,GA,births,3773,births
13063,Clayton County,GA,death_rate,9.541478929234032,death_rate
13067,Cobb County,GA,deaths,58,deaths
13067,Cobb County,GA,births,8927,births
13067,Cobb County,GA,death_rate,6.497143497255516,death_rate
13089,DeKalb County,GA,deaths,74,deaths
13089,DeKalb County,GA,births,10785,births
13089,DeKalb County,GA,death_rate,6.861381548446917,death_rate
13121,Fulton County,GA,deaths,92,deaths
13121,Fulton County,GA,births,12652,births
13121,Fulton County,GA,death_rate,7.271577616187164,death_rate
13135,Gwinnett County,GA,deaths,59,deaths
13135,Gwinnett County,GA,births,10855,births
13135,Gwinnett County,GA,death_rate,5.435283279594657,death_rate
15003,Honolulu County,HI,deaths,90,deaths
15003,Honolulu County,HI,births,12168,births
15003,Honolulu County,HI,death_rate,7.396449704142012,death_rate
16001,Ada County,ID,deaths,21,deaths
16001,Ada County,ID,births,4861,births
16001,Ada County,ID,death_rate,4.320098745114174,death_rate
17031,Cook County,IL,deaths,425,deaths
17031,Cook County,IL,births,61797,births
17031,Cook County,IL,death_rate,6.877356505979255,death_rate
17043,DuPage County,IL,deaths,42,deaths
17043,DuPage County,IL,births,10298,births
17043,DuPage County,IL,death_rate,4.078461837249951,death_rate
17089,Kane County,IL,deaths,39,deaths
17089,Kane County,IL,births,6337,births
17089,Kane County,IL,death_rate,6.154331702698437,death_rate
17097,Lake County,IL,deaths,30,deaths
17097,Lake County,IL,births,7095,births
17097,Lake County,IL,death_rate,4.2283298097251585,death_rate
17111,McHenry County,IL,deaths,12,deaths
17111,McHenry County,IL,births,2987,births
17111,McHenry County,IL,death_rate,4.017408771342484,death_rate
17119,Madison County,IL,deaths,28,deaths
17119,Madison County,IL,births,2865,births
17119,Madison County,IL,death_rate,9.773123909249565,death_rate
17163,St. Clair County,IL,deaths,21,deaths
17163,St. Clair County,IL,births,3109,births
17163,St. Clair County,IL,death_rate,6.754583467352846,death_rate
17197,Will County,IL,deaths,46,deaths
17197,Will County,IL,births,7318,births
17197,Will County,IL,death_rate,6.285870456408855,death_rate
17201,Winnebago County,IL,deaths,20,deaths
17201,Winnebago County,IL,births,3497,births
17201,Winnebago County,IL,death_rate,5.719187875321705,death_rate
18003,Allen County,IN,deaths,33,deaths
18003,Allen County,IN,births,5240,births
18003,Allen County,IN,death_rate,6.297709923664122,death_rate
18057,Hamilton County,IN,deaths,14,deaths
18057,Hamilton County,IN,births,3724,births
18057,Hamilton County,IN,death_rate,3.7593984962406015,death_rate
18089,Lake County,IN,deaths,36,deaths
18089,Lake County,IN,births,5785,births
18089,Lake County,IN,death_rate,6.222990492653414,death_rate
18097,Marion County,IN,deaths,116,deaths
18097,Marion County,IN,births,14036,births
18097,Marion County,IN,death_rate,8.264462809917356,death_rate
18141,St. Joseph County,IN,deaths,26,deaths
18141,St. Joseph County,IN,births,3538,births
18141,St. Joseph County,IN,death_rate,7.348784624081402,death_rate
19153,Polk County,IA,deaths,33,deaths
19153,Polk County,IA,births,6655,births
19153,Polk County,IA,death_rate,4.958677685950414,death_rate
20091,Johnson County,KS,deaths,25,deaths
20091,Johnson County,KS,births,7140,births
20091,Johnson County,KS,death_rate,3.5014005602240896,death_rate
20173,Sedgwick County,KS,deaths,60,deaths
20173,Sedgwick County,KS,births,6733,births
20173,Sedgwick County,KS,death_rate,8.911332244170504,death_rate
21067,Fayette County,KY,deaths,24,deaths
21067,Fayette County,KY,births,3921,births
21067,Fayette County,KY,death_rate,6.12088752869166,death_rate
21111,Jefferson County,KY,deaths,56,deaths
21111,Jefferson County,KY,births,9584,births
21111,Jefferson County,KY,death_rate,5.843071786310517,death_rate
22017,Caddo Parish,LA,deaths,28,deaths
22017,Caddo Parish,LA,births,3072,births
22017,Caddo Parish,LA,death_rate,9.114583333333334,death_rate
22033,East Baton Rouge Parish,LA,deaths,55,deaths
22033,East Baton Rouge Parish,LA,births,5780,births
22033,East Baton Rouge Parish,LA,death_rate,9.515570934256056,death_rate
22051,Jefferson Parish,LA,deaths,37,deaths
22051,Jefferson Parish,LA,births,5649,births
22051,Jefferson Parish,LA,death_rate,6.549831828642237,death_rate
22071,Orleans Parish,LA,deaths,32,deaths
22071,Orleans Parish,LA,births,4656,births
22071,Orleans Parish,LA,death_rate,6.8728522336769755,death_rate
23005,Cumberland County,ME,deaths,14,deaths
23005,Cumberland County,ME,births,2717,births
23005,Cumberland County,ME,death_rate,5.152741994847258,death_rate
24003,Anne Arundel County,MD,deaths,22,deaths
24003,Anne Arundel County,MD,births,6781,births
24003,Anne Arundel County,MD,death_rate,3.2443592390502873,death_rate
24005,Baltimore County,MD,deaths,65,deaths
24005,Baltimore County,MD,births,9787,births
24005,Baltimore County,MD,death_rate,6.641463165423521,death_rate
24027,Howard County,MD,deaths,22,deaths
24027,Howard County,MD,births,3405,births
24027,Howard County,MD,death_rate,6.4610866372980915,death_rate
24031,Montgomery County,MD,deaths,53,deaths
24031,Montgomery County,MD,births,12401,births
24031,Montgomery County,MD,death_rate,4.273848883154584,death_rate
24033,Prince George's County,MD,deaths,94,deaths
24033,Prince George's County,MD,births,12159,births
24033,Prince George's County,MD,death_rate,7.730898922608767,death_rate
24510,Baltimore city,MD,deaths,63,deaths
24510,Baltimore city,MD,births,7681,births
24510,Baltimore city,MD,death_rate,8.202057023825022,death_rate
25005,Bristol County,MA,deaths,24,deaths
25005,Bristol County,MA,births,5487,births
25005,Bristol County,MA,death_rate,4.373974849644615,death_rate
25009,Essex County,MA,deaths,40,deaths
25009,Essex County,MA,births,8377,births
25009,Essex County,MA,death_rate,4.774979109466396,death_rate
25013,Hampden County,MA,deaths,29,deaths
25013,Hampden County,MA,births,4926,births
25013,Hampden County,MA,death_rate,5.887129516849371,death_rate
25017,Middlesex County,MA,deaths,46,deaths
25017,Middlesex County,MA,births,16603,births
